token_type,address,Years since foundation,Simple agreement for future tokens (SAFT),portfolio_converted_into_fiat,Crowdsale max. discount (%),US_qualified_only,token_standard,issued_on_other_platf,Use of proceeds mentioned,Investors from other (non-US) jurisdictions excluded,Is a security,Smart contract code available,ico_end_date_actual,price_crowdsale,Decentralised platform,Total amount raised (USDm),Issuer has customers for product,Experienced team,Team tokens locked up,"Length of crowdsale (calendar days, actual)",hard_cap_unit,Fundraiser has maximum ('hard cap'),ico_start_date,vc_support_blockchain_specialist,Legal advisor disclosed,Registered in offshore financial center,Funding milestones,Celebrity endorsement,Investors have governance rights,Qualified investors only,additional_token_emissions,Legal entity is foundation,"Length of crowdsale (calendar days, planned)",soft_cap_unit,switzerland,Unsold tokens kept by issuer,Is currency or general purpose blockchain,name_other,industry.1,Is a utility token,Has a presale,Crowdsale is auction,Financial advisor disclosed,Has VC backing,Postal address known,advisor_quality,registration_country,BTC_ret_ico_period,US retail investors excluded,legal_structure,Business model available,High quality advisory team,is_ethereum,air_drop_after_ICO ,Product can be tried out,Whitepaper page count,Independent custodian for ICO funds,ethereum_contract_address,cap_unit,token_is_cryptocurrency,Legal entity is corporation,Development road map available,vc_support_general,Team member with business background,has_generalist_vc,cap_includes_presale,token_is_new_blockchain,Legal entity is LLC,presale_transparent,total_number_of_tokens,Team business background missing,Product or prototype developed,Token share team (ex ante),ico_end_date_planned,soft_cap,Is cryptographic token,ico_successful,has_specialist_vc,Token share producers/miners (ex ante),Use of proceeds disclosed in detail,Legal form and jurisdiction known,Team experience missing,Project code available,industry,KYC/AML procedure,Fundraiser has minimum ('soft cap'),Unsold tokens 'burnt' or proportional allocation,Token supply is fixed,Unknown or low quality advisors
Utility-token,unknown,1,0,0,0.0,0,ERC-20,1,0,0,0,1.0,2017-08-16,0.051083631813526154,1,25.54181671142578,0,0,1,2,USD,1,2017-08-15,Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,0,1,0,0,0,0,0,0,5.0,USD,0,1,0,0x,Trading & Exchanges,1,0,0,0,1,0,unknown,Cayman Islands,0.04550616070628166,0,joint-stock corporation,0,0,1,0,1,16.0,0,0xe41d2489571d322189246dafa5ebde1f4699f498,USD,0,1,0,No,0,0,1,0,0,1,1000000000.0,0,1,0.5,2017-08-19,0.0,1,1.0,1,0.0,0,1,0,1,Trading & Exchanges,1,0,0,1,1
Utility-token,"Collingwood, Ontario, CANADA, L9Y 1A1",1,0,0,16.66666603088379,0,ERC-20,1,1,1,0,1.0,2018-01-06,0.0204250980168581,1,10.416799545288086,0,1,1,24,ETH,1,2017-12-14,No,0,0,0,0,0,0,0,0,39.0,ETH,0,1,0,adbank,Commerce & Advertising,1,0,0,0,0,1,high,Canada,0.05651088431477547,1,unknown,0,1,1,0,0,56.0,0,0x2baac9330cf9ac479d819195794d79ad0c7616e3,ETH,0,0,1,No,0,0,1,0,0,1,1000000000.0,0,1,0.49,2018-01-21,0.0,1,1.0,0,0.0,0,0,0,1,Commerce & Advertising,1,0,0,1,0
Utility-token,"AdEx Network OÜ, Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117 ",1,0,0,23.076923370361328,0,ERC-20,1,1,0,0,1.0,2017-06-30,0.2520683705806732,1,14.214347839355469,0,0,1,1,ETH,1,2017-06-30,No,1,0,0,0,0,0,0,0,31.0,ETH,0,1,0,AdEx,Commerce & Advertising,1,1,0,0,0,1,neutral,Estonia,0.0,0,joint-stock corporation,1,0,1,0,0,33.0,0,0x4470bb87d77b963a013db939be332f927f2b992e,ETH,0,1,1,No,0,0,0,0,0,1,100000000.0,0,0,0.409884652934,2017-07-30,3299948.75,1,1.0,0,0.0,0,1,1,0,Commerce & Advertising,0,1,0,1,0
Utility-token,"AdHive Platform OÜ, Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 47, 11415",1,0,0,23.664121627807617,0,ERC-20,1,0,1,0,0.0,2018-02-28,0.1260228008031845,1,15.0,0,1,1,1,USD,1,2018-02-28,No,0,0,0,0,0,0,0,0,15.0,USD,0,0,0,Adhive (ADH),Commerce & Advertising,1,1,0,1,0,1,high,Estonia,0.0,1,joint-stock corporation,1,1,1,0,1,70.0,0,0xe69a353b3152dd7b706ff7dd40fe1d18b7802d31,USD,0,1,1,No,1,0,0,0,0,1,392000000.0,0,1,0.7000000000000001,2018-03-14,5040000.0,1,1.0,0,0.0,1,1,0,0,Commerce & Advertising,1,1,1,1,0
Security,"Aditus Pte. Ltd., 178 CLEMENCEAU AVENUE #03-01 HAW PAR GLASS TOWER SINGAPORE 239926",0,0,0,2.912621259689331,0,ERC-20,1,1,1,1,1.0,2017-12-20,0.030039453878998756,1,7.100193977355957,0,1,1,21,USD,1,2017-11-30,District 13,1,0,0,0,1,0,0,0,21.0,USD,0,0,0,Aditus,Commerce & Advertising,0,1,0,0,1,1,high,Singapore,0.48520711064338684,1,joint-stock corporation,1,1,1,0,0,35.0,0,0x8810c63470d38639954c6b41aac545848c46484a,USD,0,1,1,No,1,0,1,0,0,1,750000000.0,0,0,0.55,2017-12-20,2000000.0,1,1.0,1,0.0,0,1,0,0,Commerce & Advertising,1,1,1,1,0
Utility-token," MetaXchain, Inc., 3110 Main St., Penthouse Suite #400, Los Angeles CA",0,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2017-06-26,0.01817915216088295,0,9.08957576751709,0,1,1,1,ETH,1,2017-06-26,No,0,0,0,0,1,0,0,0,1.0,ETH,0,1,0,adToken,Commerce & Advertising,1,1,0,0,0,1,high,United States,0.0,1,joint-stock corporation,0,1,1,0,0,16.0,0,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,ETH,0,1,1,No,0,0,1,0,0,0,1000000000.0,0,0,0.4,2017-06-26,0.0,1,1.0,0,0.0,0,1,0,1,Commerce & Advertising,0,0,0,1,0
New Blockchain,"Aeternity Establishment, Landstr. 123, FL-9495 Triesen ",0,0,0,40.90909194946289,0,ERC-20,1,0,0,0,0.0,2017-06-09,0.1543131172657013,1,34.99652099609375,0,1,0,68,CHF,1,2017-04-03,No,1,1,0,0,1,0,1,1,78.0,CHF,0,0,1,Aeternity,Blockchain Infrastructure,0,0,0,0,0,1,neutral,Liechtenstein,0.9037222266197205,0,foundation,0,0,1,0,1,10.0,0,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,CHF,0,0,1,No,1,0,1,1,0,1,276571964.3536586,0,1,0.18,2017-06-19,0.0,1,1.0,0,0.0,0,1,0,1,Blockchain Infrastructure,0,0,1,0,0
Utility-token,"Valukoja 8, 11415 Tallinn, Estonia",0,0,0,23.076923370361328,0,ERC-20,1,0,0,0,0.0,2017-08-17,0.49814435839653015,1,29.68411636352539,0,1,0,33,BTC,1,2017-07-16,No,0,0,0,0,0,0,0,0,33.0,BTC,0,0,0,Agrello,Legal,1,1,0,0,0,1,neutral,Estonia,0.8085310459136963,0,joint-stock corporation,0,0,1,0,0,35.0,0,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,BTC,0,1,1,No,0,0,0,0,0,0,130271020.035721,0,0,0.21,2017-08-17,0.0,1,1.0,0,0.0,0,1,0,0,Legal,1,0,1,1,0
Cryptocurrency,"via Giuseppe Motta 10, 6830 Chiasso - Switzerland",4,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2018-01-16,0.5268449783325195,1,16.200838088989258,0,0,1,1,ETH,1,2018-01-16,Vulpem,0,0,0,0,0,0,0,0,17.0,ETH,1,1,1,AidCoin,Charity,0,1,0,1,1,1,medium,Switzerland,0.0,1,joint-stock corporation,0,0,1,1,0,28.0,0,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,ETH,1,1,1,No,1,0,1,0,0,1,100000000.0,0,0,0.55,2018-02-01,4214760.0,1,1.0,1,0.0,0,1,0,0,Charity,1,1,0,1,0
Utility-token,Superposition Technologies Pte. Ltd. 201721187N 22 North Canal Road #02-00,0,0,0,13.043478012084961,0,ERC-20,1,1,1,0,1.0,2017-12-15,0.31990596652030945,1,3.891782760620117,0,1,1,31,ETH,1,2017-11-15,No,1,0,0,0,0,0,0,0,31.0,ETH,0,0,0,Aigang,Insurance,1,1,0,0,0,1,neutral,Singapore,0.8839535117149353,1,joint-stock corporation,1,0,1,0,1,32.0,0,0x1063ce524265d5a3a624f4914acd573dd89ce988,ETH,0,1,1,No,1,0,1,0,0,1,29274566.7244625,0,1,0.49,2017-12-15,0.0,1,1.0,0,0.0,0,1,0,1,Insurance,0,0,1,1,0
Utility-token,"207 South Street Suite 172 Boston, MA 02111",2,0,0,23.076923370361328,0,ERC-20,1,1,1,0,1.0,2017-10-07,0.017692307010293007,1,15.0,1,0,0,8,USD,1,2017-09-30,No,0,0,0,0,0,0,0,0,72.0,USD,0,1,0,AirToken,Finance,1,1,0,0,1,1,medium,United States,0.02012023702263832,0,joint-stock corporation,0,0,1,0,1,46.0,0,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,USD,0,1,1,Right Side Capital Management; Techstars; Project 11 Ventures; NXT ventures; Launch Capital,0,1,1,0,0,0,1491492558.0,0,1,0.3,2017-12-10,15000000.0,1,1.0,0,0.0,0,1,0,0,Finance,1,1,0,1,0
Utility-token,"ALIS CO., Ltd., Kawara Bld.6F, 1-20-7, Jinnan, Shibuya-ku, Tokyo, 150-0041",0,0,0,31.034482955932617,0,ERC-20,1,1,0,0,1.0,2017-09-29,0.10076187551021576,1,3.789109945297241,0,0,1,29,ETH,1,2017-09-01,No,0,0,0,0,0,0,1,0,29.0,ETH,0,0,0,ALIS,Social Networks,1,0,0,0,0,1,unknown,Japan,-0.16135047376155853,0,joint-stock corporation,1,0,1,0,0,26.0,0,0xea610b1153477720748dc13ed378003941d84fab,ETH,0,1,1,No,1,0,1,0,0,1,75209200.0,0,0,0.5,2017-09-29,3400289.0200000005,1,1.0,0,0.0,0,1,0,1,Social Networks,0,1,1,0,1
Utility-token,"Gotthardstrasse 26, 6300 Zug",1,0,0,0.0,0,ERC-20,1,1,0,0,1.0,2017-10-20,0.3040100038051605,1,56.12714767456055,0,1,1,34,ETH,1,2017-09-17,No,0,0,0,0,0,0,0,0,31.0,ETH,1,0,0,Ambrosus,Provenance & Notary,1,1,0,0,0,1,high,Switzerland,0.5174990296363831,1,limited liability partnership,1,1,1,0,0,37.0,0,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,ETH,0,0,1,No,1,0,1,0,1,1,1151773037.5,0,0,0.6,2017-10-17,0.0,1,1.0,0,0.0,1,1,0,0,Provenance & Notary,1,0,1,1,0
Utility-token,"30 Cecil St, #19-08, Prudential Tower, Singapore 049712.",2,0,0,20.0,0,ERC-20,1,1,1,0,1.0,2017-12-20,0.30914872884750366,1,16.702674865722656,1,1,1,8,USD,1,2017-12-13,No,0,0,0,0,0,0,0,0,34.0,USD,0,0,0,AppCoins,Marketplaces,1,1,0,0,1,1,high,Singapore,0.013102316297590733,1,joint-stock corporation,0,1,1,1,1,45.0,0,0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db,USD,0,1,1,Catagonia Limited,1,1,0,0,0,0,245000000.0,0,1,0.6,2018-01-15,4054386.375,1,1.0,0,0.0,0,1,0,1,Marketplaces,1,1,1,1,0
Security,unknown,1,0,0,15.841584205627441,0,ERC-20,1,1,1,1,1.0,2017-10-31,0.6057029962539673,1,6.9742279052734375,0,1,0,55,USD,1,2017-09-07,No,1,1,0,0,1,0,0,0,55.0,USD,0,0,0,ATLANT,Real Estate,0,1,0,0,0,0,high,British Virgin Islands,0.3408985733985901,1,joint-stock corporation,1,1,1,0,1,40.0,0,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05,USD,0,1,1,No,0,0,1,0,0,1,54175040.6777549,0,1,0.275,2017-10-31,1500000.0,1,1.0,0,0.0,0,1,0,0,Real Estate,0,1,1,1,0
Utility-token,"Kemp House 160 City Road, London, United Kingdom, EC1V 2NX ",1,0,0,0.0,0,ERC-20,1,0,0,0,1.0,2017-09-06,3.6341304779052734,0,20.020845413208008,0,0,0,1,tokens,1,2017-09-06,Global Advisors,0,0,0,0,1,0,0,0,8.0,tokens,0,0,0,Aventus,Events & Entertainment,1,1,0,0,1,1,unknown,United Kingdom,0.0,0,joint-stock corporation,1,0,1,0,1,18.0,0,0x0d88ed6e74bbfd96b831231638b66c05571e824f,tokens,0,1,1,No,0,0,1,0,0,1,10000000.0,1,1,0.4,2017-09-13,10902391.30434782,1,1.0,1,0.0,0,1,1,0,Events & Entertainment,0,1,1,1,1
